"area_name","process","trend","spike","linearity","curvature","e_acf1","e_acf10","entropy","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","arch_stat","embed2_incircle_1","embed2_incircle_2","ac_9","firstmin_ac","trev_num","motiftwo_entro3","walker_propcross","nonlinearity","x_pacf5","diff1x_pacf5","diff2x_pacf5","PC1","PC2","PC3","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15"
"Alabama","VCS",0.00231966484984603,9.78004153534615e-06,-0.744468568087119,0.119128479328668,0.744707317997679,2.37558767446083,0.634573395789112,0.745407691783103,2.35191454683774,0.261328381840274,0.51641045028959,-0.390571980405659,0.218060927282758,0.366452049779376,0,0,-0.0876742215527506,6,-84364158.4769585,1.563843398244,0.182027649769585,1.11044404698486,0.950711037910761,0.18386679362271,0.257951117648197,-1.88751348227004,-1.80641011150051,1.12989036732886,1,2,3,2,3,3,6,4,8,8,11,5,9,8,9
"Alabama","VDV",0.934014266819474,7.8153480750945e-07,-7.60716756247738,-2.54875802238439,0.549366748252674,0.630741722002654,0.45111950318606,0.96561319703558,7.09058373587838,-0.176420208815289,0.0660943219315304,-0.625321045625655,0.486497474699717,0.85337013615262,0,0,0.736664297695953,72,7.76923076923077,0.793042046564836,0.10989010989011,0.11623175792883,0.963043823293264,0.0415037262586137,0.616039404827358,4.42951268787653,1.48134827304708,1.30189911640416,1,1,1,3,4,5,3,8,3,5,3,8,11,10,13
"Alabama","VEU",0.80156187248116,1.02903705532817e-06,14.3968514870976,-3.25139885615305,0.585203976044711,0.779835641521609,0.287265059402237,0.911334719933815,5.56251488112271,0.00463698984242275,0.315742881041442,-0.470957299860222,0.405471297778036,0.720633652154127,0,0,0.678460023875194,4,-26729933545.1517,1.26715583901335,0.26551724137931,0.252541406834388,0.959459777591897,0.175242066294355,0.550682637552395,2.67287373997247,0.339354683573552,-1.50012774949291,1,1,1,4,5,1,4,3,1,7,10,11,10,4,10
"Alabama","VGT",0.836902793177175,6.09283299885029e-07,14.9227235156758,-1.67454519186778,0.343393787055148,1.0931722428325,0.229592244980057,0.889637114098441,6.11901069123215,-0.0930179696432079,0.673054817074806,-0.481153531769135,0.497083115108431,0.612587721124347,0,0,0.670723737707724,3,-117811709877.379,1.22443446136747,0.313793103448276,1.07609786765636,1.16228476261524,0.482574108412945,0.837809533438305,3.13516539991887,0.605701798818819,-2.3089131972755,1,1,1,4,5,1,4,3,1,7,10,11,10,3,10
"Alabama","VIN",0.850940403479616,6.09207012741854e-07,14.2596496529368,4.22864933616407,0.582110554826798,0.985641427484096,0.20506504823761,0.929942903904307,6.54052463687997,-0.291759993337515,0.30336923319374,-0.679412384034723,0.78208019895187,0.670934741351181,0,0,0.776334944453967,6,-167619471.927586,1.164828448869,0.2,0.464026266973734,1.00701692754492,0.15080411596356,0.650158936098887,4.11534387354256,0.549455069356097,-1.49236164887103,1,1,1,4,5,1,4,3,1,7,10,11,10,3,10
"Alabama","VRS",0.0518457297971399,9.09513674167933e-06,-4.53115286054519,-0.0722908002872238,0.770635983498642,2.48683528026916,0.606461989897407,0.781792129496829,2.1023961911541,0.437599955940723,0.750619366352703,-0.146392267822666,0.153443165532016,0.515590087265193,0,0,-0.0503396442488803,6,981979594.529954,1.51668840288583,0.165898617511521,0.464108317230257,1.05638509038222,0.3130462879745,0.145838255949997,-2.90788439296737,-0.468109484372571,1.00163660593841,1,2,2,1,1,3,6,4,8,8,11,5,9,8,9
"Alaska","VCS",0.114703988105108,4.17392894864179e-06,-6.34707320464492,0.889145544630481,0.819309944952859,2.82688804150747,0.607636133192313,0.838958025654169,2.17999715366885,0.377017016206685,1.48160726133572,-0.463399280929149,0.393604644223637,0.669318630264251,0,0,0.176130840711386,6,-3078443.09677419,1.56121061002046,0.165898617511521,0.0884676499119294,1.21719130958258,0.539383056251377,0.248196382930426,-2.5334286243813,0.91176654215873,0.379544585878268,1,2,2,1,1,6,2,7,4,2,4,4,7,2,14
"Alaska","VDV",0.968713085170063,3.08134844012911e-07,-11.7156883583528,3.55807422467509,0.594232149322628,0.719904480404603,0.289822698780689,0.968035102343244,6.87723681040647,-0.0111721611721611,0.00131061957985034,-0.5,0.25,0.100123385599077,0.256637168141593,0.876106194690266,0.71231592108919,99,-0.010989010989011,0.750442096511699,0.00549450549450549,0.10820764206195,0.938201686032993,0.000668023448829016,0.491388888888889,4.10536841635671,1.34314753589918,8.09865468848465,1,1,1,3,2,2,7,6,9,6,2,9,13,12,3
"Alaska","VEU",0.750084271215575,1.58864402815344e-06,-10.033063018356,-4.62607548270332,0.456014286775011,0.427266799250058,0.525512223411941,0.856186433647225,4.88273797629382,-0.112807541909148,0.115470252760038,-0.476735533151117,0.261136044358688,0.434285991006945,0,0,0.650855527609828,8,3001701.77768166,1.38563089199269,0.280276816608997,0.479073545060429,0.810324887307104,0.124804915659699,0.582186666580504,2.2050276897143,-1.90189804724542,0.257828827910728,1,1,3,4,5,4,1,5,7,9,5,7,12,1,7
"Alaska","VGT",0.513642421009542,7.08630463368494e-06,-4.33079640945553,9.16175156836938,0.794310020481358,2.33001445727242,0.525045743964462,0.892758700974485,2.55707667389691,0.282640045475622,0.831894702671908,-0.443079405946669,0.274184396855555,0.765650536118658,0,0,0.475660991249812,6,1548944061.89655,1.40439945250736,0.16551724137931,0.0499187675618276,0.99226450291556,0.272743715381844,0.221865476411227,-0.72523837841303,0.490461918640186,0.179299176403916,1,2,2,1,1,3,6,4,6,4,8,1,5,11,4
